,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2023-02-07 10:09:21.374528,"(-11.25, 20.100000381469727, 10.406000137329102)","(22.05000114440918, 34.80000305175781, 22.02199935913086)","(13.500000953674316, 31.650001525878906, 21.29599952697754)","(-7.200000286102295, 38.55000305175781, 19.8439998626709)","(38.70000076293945, 68.4000015258789, 66.79199981689453)","(0.0, 0.0, 0.0)","(-13.050000190734863, 39.60000228881836, 11.616000175476074)","(3.750000238418579, 66.9000015258789, 18.875999450683594)"
1,2023-02-07 10:09:21.377000,"(-10.800000190734863, 21.30000114440918, 11.131999969482422)","(23.25, 33.900001525878906, 23.715999603271484)","(13.500000953674316, 32.55000305175781, 20.086000442504883)","(-8.850000381469727, 35.85000228881836, 21.780000686645508)","(38.70000076293945, 68.10000610351562, 67.76000213623047)","(0.0, 0.0, 0.0)","(-13.65000057220459, 39.60000228881836, 14.03600025177002)","(3.450000047683716, 66.60000610351562, 20.56999969482422)"
2,2023-02-07 10:09:21.467203,"(-12.300000190734863, 19.650001525878906, 12.342000007629395)","(20.55000114440918, 33.900001525878906, 26.619998931884766)","(14.40000057220459, 32.70000076293945, 21.538000106811523)","(-8.100000381469727, 35.55000305175781, 22.74799919128418)","(38.400001525878906, 68.10000610351562, 67.2760009765625)","(0.0, 0.0, 0.0)","(-13.500000953674316, 39.75, 13.793999671936035)","(3.450000047683716, 66.1500015258789, 19.601999282836914)"
3,2023-02-07 10:09:21.511914,"(-11.25, 20.100000381469727, 10.406000137329102)","(21.0, 33.150001525878906, 28.07200050354004)","(12.450000762939453, 30.750001907348633, 21.053998947143555)","(-7.500000476837158, 39.60000228881836, 21.29599952697754)","(37.5, 68.70000457763672, 68.00199890136719)","(0.0, 0.0, 0.0)","(-13.800000190734863, 40.20000076293945, 13.552000045776367)","(2.8500001430511475, 66.1500015258789, 20.086000442504883)"
4,2023-02-07 10:09:21.557852,"(-12.0, 19.950000762939453, 12.826000213623047)","(20.100000381469727, 31.05000114440918, 25.40999984741211)","(12.300000190734863, 31.500001907348633, 24.200000762939453)","(-10.5, 38.55000305175781, 19.118000030517578)","(38.10000228881836, 68.70000457763672, 68.48600006103516)","(0.0, 0.0, 0.0)","(-13.950000762939453, 40.20000076293945, 14.03600025177002)","(2.25, 66.45000457763672, 20.56999969482422)"
5,2023-02-07 10:09:21.646733,"(-12.450000762939453, 21.450000762939453, 12.342000007629395)","(23.25, 34.95000076293945, 22.263999938964844)","(14.250000953674316, 31.80000114440918, 23.4739990234375)","(-9.300000190734863, 37.95000076293945, 22.989999771118164)","(38.10000228881836, 68.25, 68.48600006103516)","(0.0, 0.0, 0.0)","(-13.800000190734863, 40.35000228881836, 16.214000701904297)","(3.3000001907348633, 66.45000457763672, 21.053998947143555)"
6,2023-02-07 10:09:21.691702,"(-11.850000381469727, 21.0, 13.552000045776367)","(22.650001525878906, 33.45000076293945, 22.989999771118164)","(13.350000381469727, 32.10000228881836, 24.926000595092773)","(-10.350000381469727, 38.400001525878906, 18.392000198364258)","(37.95000076293945, 68.25, 67.76000213623047)","(0.0, 0.0, 0.0)","(-13.65000057220459, 40.20000076293945, 15.729999542236328)","(2.8500001430511475, 66.1500015258789, 21.053998947143555)"
7,2023-02-07 10:09:21.736904,"(-12.450000762939453, 21.75, 11.616000175476074)","(18.900001525878906, 32.85000228881836, 20.086000442504883)","(13.050000190734863, 31.200000762939453, 25.167999267578125)","(-7.800000190734863, 37.80000305175781, 19.360000610351562)","(37.20000076293945, 68.4000015258789, 68.48600006103516)","(0.0, 0.0, 0.0)","(-13.800000190734863, 39.900001525878906, 15.246000289916992)","(2.1000001430511475, 66.30000305175781, 20.327999114990234)"
8,2023-02-07 10:09:21.826934,"(-11.40000057220459, 21.450000762939453, 13.067999839782715)","(22.05000114440918, 34.05000305175781, 22.263999938964844)","(12.300000190734863, 31.05000114440918, 24.200000762939453)","(-11.40000057220459, 38.25, 21.780000686645508)","(37.5, 67.80000305175781, 68.24400329589844)","(0.0, 0.0, 0.0)","(-14.100000381469727, 39.150001525878906, 15.246000289916992)","(2.25, 67.20000457763672, 22.02199935913086)"
9,2023-02-07 10:09:21.871759,"(-12.0, 20.700000762939453, 15.246000289916992)","(21.30000114440918, 35.10000228881836, 23.715999603271484)","(14.100000381469727, 31.350000381469727, 24.926000595092773)","(-10.200000762939453, 39.900001525878906, 23.4739990234375)","(38.85000228881836, 67.95000457763672, 68.48600006103516)","(0.0, 0.0, 0.0)","(-12.750000953674316, 39.75, 15.48799991607666)","(2.8500001430511475, 66.1500015258789, 21.053998947143555)"
