,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4
0,2023-03-31 10:44:59.891394,"(-131.0, 56.0, -170.0)","(-135.0, 221.0, -1.0)","(-52.0, 117.0, 132.0)","(-80.0, -160.0, 72.0)"
1,2023-03-31 10:44:59.905169,"(-150.0, 84.0, -185.0)","(-155.0, 242.0, -56.0)","(-24.0, 60.0, 111.0)","(-101.0, -190.0, 59.0)"
2,2023-03-31 10:44:59.919747,"(-117.0, 73.0, -184.0)","(-151.0, 230.0, -11.0)","(-64.0, 94.0, 109.0)","(-103.0, -189.0, 14.0)"
3,2023-03-31 10:44:59.931322,"(-115.0, 111.0, -160.0)","(-124.0, 255.0, -6.0)","(-67.0, 104.0, 136.0)","(-57.0, -219.0, 90.0)"
4,2023-03-31 10:44:59.954474,"(-152.0, 96.0, -164.0)","(-163.0, 237.0, -9.0)","(-19.0, 86.0, 95.0)","(-97.0, -190.0, 62.0)"
5,2023-03-31 10:44:59.966244,"(-128.0, 30.0, -198.0)","(-111.0, 233.0, 16.0)","(-94.0, 55.0, 130.0)","(-83.0, -218.0, 56.0)"
6,2023-03-31 10:44:59.979044,"(-121.0, 68.0, -198.0)","(-145.0, 237.0, -16.0)","(-88.0, 45.0, 96.0)","(-74.0, -217.0, 48.0)"
7,2023-03-31 10:45:00.002981,"(-126.0, 68.0, -208.0)","(-142.0, 207.0, -24.0)","(-87.0, 107.0, 135.0)","(-54.0, -189.0, 99.0)"
8,2023-03-31 10:45:00.017166,"(-150.0, 58.0, -184.0)","(-95.0, 226.0, -17.0)","(-93.0, 93.0, 70.0)","(-51.0, -176.0, 52.0)"
9,2023-03-31 10:45:00.030374,"(-170.0, 57.0, -148.0)","(-112.0, 254.0, -2.0)","(-50.0, 109.0, 112.0)","(-37.0, -159.0, 69.0)"
10,2023-03-31 10:45:00.042046,"(-122.0, 94.0, -168.0)","(-123.0, 204.0, -7.0)","(-81.0, 67.0, 119.0)","(-64.0, -211.0, 92.0)"
11,2023-03-31 10:45:00.066686,"(-130.0, 44.0, -170.0)","(-161.0, 231.0, -19.0)","(-27.0, 99.0, 132.0)","(-81.0, -147.0, 86.0)"
12,2023-03-31 10:45:00.080090,"(-159.0, 106.0, -200.0)","(-161.0, 235.0, -18.0)","(-53.0, 102.0, 71.0)","(-128.0, -186.0, 71.0)"
13,2023-03-31 10:45:00.093678,"(-149.0, 85.0, -192.0)","(-156.0, 233.0, -7.0)","(-65.0, 74.0, 78.0)","(-70.0, -166.0, 61.0)"
14,2023-03-31 10:45:00.107296,"(-163.0, 113.0, -174.0)","(-157.0, 200.0, -29.0)","(-75.0, 67.0, 105.0)","(-106.0, -194.0, 69.0)"
15,2023-03-31 10:45:00.120875,"(-170.0, 134.0, -180.0)","(-136.0, 208.0, 0.0)","(-61.0, 81.0, 106.0)","(-87.0, -160.0, 51.0)"
16,2023-03-31 10:45:00.144349,"(-116.0, 70.0, -181.0)","(-144.0, 214.0, -18.0)","(-73.0, 107.0, 117.0)","(-67.0, -210.0, 59.0)"
17,2023-03-31 10:45:00.156884,"(-145.0, 93.0, -189.0)","(-119.0, 244.0, -57.0)","(-51.0, 70.0, 143.0)","(-61.0, -170.0, 71.0)"
18,2023-03-31 10:45:00.169274,"(-88.0, 78.0, -171.0)","(-119.0, 199.0, 13.0)","(-55.0, 99.0, 114.0)","(-110.0, -203.0, 65.0)"
19,2023-03-31 10:45:00.193136,"(-149.0, 101.0, -174.0)","(-118.0, 228.0, -4.0)","(-91.0, 83.0, 117.0)","(-100.0, -171.0, 53.0)"
20,2023-03-31 10:45:00.205606,"(-100.0, 70.0, -171.0)","(-131.0, 212.0, -23.0)","(-77.0, 137.0, 120.0)","(-75.0, -134.0, 77.0)"
21,2023-03-31 10:45:00.218942,"(-129.0, 96.0, -204.0)","(-112.0, 223.0, -25.0)","(-41.0, 89.0, 141.0)","(-53.0, -166.0, 43.0)"
22,2023-03-31 10:45:00.231345,"(-143.0, 65.0, -153.0)","(-125.0, 219.0, -36.0)","(-15.0, 95.0, 126.0)","(-67.0, -194.0, 32.0)"
23,2023-03-31 10:45:00.255357,"(-151.0, 88.0, -133.0)","(-134.0, 221.0, -35.0)","(-63.0, 111.0, 124.0)","(-80.0, -197.0, 43.0)"
24,2023-03-31 10:45:00.267940,"(-165.0, 86.0, -166.0)","(-139.0, 249.0, 10.0)","(-69.0, 50.0, 125.0)","(-36.0, -175.0, 57.0)"
25,2023-03-31 10:45:00.280266,"(-114.0, 106.0, -166.0)","(-108.0, 256.0, -32.0)","(-39.0, 98.0, 118.0)","(-122.0, -208.0, 67.0)"
26,2023-03-31 10:45:00.304884,"(-146.0, 86.0, -167.0)","(-155.0, 237.0, -8.0)","(-88.0, 99.0, 135.0)","(-82.0, -154.0, 72.0)"
27,2023-03-31 10:45:00.316891,"(-126.0, 70.0, -188.0)","(-110.0, 221.0, -16.0)","(-74.0, 95.0, 145.0)","(-88.0, -167.0, 45.0)"
28,2023-03-31 10:45:00.328686,"(-129.0, 61.0, -173.0)","(-149.0, 255.0, -3.0)","(-64.0, 84.0, 77.0)","(-69.0, -191.0, 9.0)"
29,2023-03-31 10:45:00.353616,"(-184.0, 53.0, -155.0)","(-140.0, 209.0, -21.0)","(-44.0, 119.0, 109.0)","(-57.0, -186.0, 74.0)"
