,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4
0,2023-03-31 10:57:19.844225,"(-54.0, 83.0, -35.0)","(-198.0, 647.0, 711.0)","(56.0, 16.0, 39.0)","(-72.0, -74.0, -91.0)"
1,2023-03-31 10:57:19.871449,"(-75.0, 35.0, -35.0)","(-221.0, 703.0, 707.0)","(64.0, 14.0, 28.0)","(-6.0, -68.0, -52.0)"
2,2023-03-31 10:57:19.884995,"(-41.0, 27.0, -47.0)","(-128.0, 677.0, 729.0)","(18.0, 3.0, -15.0)","(-14.0, -107.0, -52.0)"
3,2023-03-31 10:57:19.897837,"(-28.0, 79.0, -60.0)","(-78.0, 762.0, 774.0)","(32.0, -4.0, -19.0)","(22.0, -99.0, -81.0)"
4,2023-03-31 10:57:19.911154,"(-25.0, 72.0, -33.0)","(1.0, 833.0, 793.0)","(74.0, 32.0, 22.0)","(21.0, -68.0, -104.0)"
5,2023-03-31 10:57:19.924405,"(-43.0, 81.0, -44.0)","(30.0, 853.0, 861.0)","(45.0, 42.0, 46.0)","(1.0, -55.0, -71.0)"
6,2023-03-31 10:57:19.949616,"(-14.0, 98.0, -79.0)","(48.0, 917.0, 908.0)","(82.0, 71.0, 35.0)","(19.0, -42.0, -85.0)"
7,2023-03-31 10:57:19.961452,"(-28.0, 139.0, -67.0)","(66.0, 915.0, 964.0)","(57.0, 6.0, 3.0)","(-49.0, -68.0, -53.0)"
8,2023-03-31 10:57:19.973040,"(41.0, 129.0, -43.0)","(87.0, 938.0, 954.0)","(67.0, 6.0, 11.0)","(-19.0, -64.0, -62.0)"
9,2023-03-31 10:57:19.997698,"(-4.0, 119.0, -38.0)","(35.0, 971.0, 936.0)","(94.0, -8.0, -3.0)","(41.0, -96.0, -36.0)"
10,2023-03-31 10:57:20.010657,"(-13.0, 137.0, -85.0)","(39.0, 956.0, 991.0)","(67.0, 13.0, 32.0)","(28.0, -102.0, -38.0)"
11,2023-03-31 10:57:20.023964,"(75.0, 152.0, -86.0)","(66.0, 967.0, 1061.0)","(81.0, 25.0, 63.0)","(25.0, -137.0, -41.0)"
12,2023-03-31 10:57:20.037398,"(16.0, 198.0, -51.0)","(65.0, 960.0, 1078.0)","(107.0, 14.0, 49.0)","(22.0, -142.0, -14.0)"
13,2023-03-31 10:57:20.050731,"(20.0, 165.0, -75.0)","(56.0, 1003.0, 1103.0)","(141.0, 29.0, 93.0)","(34.0, -167.0, -5.0)"
14,2023-03-31 10:57:20.077485,"(-25.0, 171.0, -115.0)","(95.0, 1052.0, 1144.0)","(123.0, -20.0, 110.0)","(39.0, -180.0, 9.0)"
15,2023-03-31 10:57:20.090898,"(4.0, 148.0, -128.0)","(108.0, 1074.0, 1281.0)","(111.0, 35.0, 80.0)","(42.0, -188.0, -11.0)"
16,2023-03-31 10:57:20.104385,"(26.0, 156.0, -115.0)","(74.0, 1042.0, 1338.0)","(91.0, 29.0, 109.0)","(36.0, -184.0, -5.0)"
17,2023-03-31 10:57:20.117742,"(25.0, 195.0, -105.0)","(28.0, 1061.0, 1443.0)","(125.0, 27.0, 92.0)","(42.0, -173.0, -22.0)"
18,2023-03-31 10:57:20.130167,"(-24.0, 182.0, -146.0)","(57.0, 1063.0, 1422.0)","(96.0, 9.0, 124.0)","(52.0, -132.0, -28.0)"
19,2023-03-31 10:57:20.156837,"(4.0, 218.0, -84.0)","(74.0, 1084.0, 1405.0)","(87.0, 37.0, 81.0)","(56.0, -182.0, 0.0)"
20,2023-03-31 10:57:20.170439,"(6.0, 186.0, -112.0)","(83.0, 1071.0, 1379.0)","(100.0, 27.0, 70.0)","(52.0, -170.0, 16.0)"
21,2023-03-31 10:57:20.183946,"(-5.0, 241.0, -104.0)","(71.0, 1151.0, 1369.0)","(138.0, 21.0, 123.0)","(8.0, -233.0, 21.0)"
22,2023-03-31 10:57:20.197532,"(41.0, 227.0, -125.0)","(106.0, 1136.0, 1264.0)","(68.0, 29.0, 114.0)","(26.0, -147.0, 15.0)"
23,2023-03-31 10:57:20.211225,"(16.0, 220.0, -117.0)","(44.0, 1227.0, 1215.0)","(94.0, 55.0, 126.0)","(8.0, -200.0, 38.0)"
24,2023-03-31 10:57:20.224868,"(9.0, 204.0, -95.0)","(103.0, 1166.0, 1186.0)","(86.0, 61.0, 131.0)","(2.0, -190.0, 15.0)"
25,2023-03-31 10:57:20.251682,"(-41.0, 256.0, -139.0)","(57.0, 1158.0, 1272.0)","(43.0, 44.0, 135.0)","(74.0, -219.0, 43.0)"
26,2023-03-31 10:57:20.265178,"(22.0, 221.0, -180.0)","(62.0, 1193.0, 1394.0)","(78.0, 45.0, 156.0)","(15.0, -197.0, 16.0)"
27,2023-03-31 10:57:20.278811,"(-28.0, 221.0, -141.0)","(42.0, 1174.0, 1471.0)","(118.0, 43.0, 107.0)","(52.0, -218.0, 22.0)"
28,2023-03-31 10:57:20.292454,"(-5.0, 228.0, -128.0)","(-3.0, 1224.0, 1451.0)","(68.0, 57.0, 150.0)","(30.0, -250.0, 46.0)"
29,2023-03-31 10:57:20.306021,"(-4.0, 245.0, -160.0)","(-22.0, 1187.0, 1491.0)","(112.0, -7.0, 151.0)","(21.0, -268.0, 24.0)"
30,2023-03-31 10:57:20.332727,"(30.0, 250.0, -168.0)","(41.0, 1236.0, 1335.0)","(112.0, 26.0, 146.0)","(-14.0, -274.0, 37.0)"
31,2023-03-31 10:57:20.347546,"(17.0, 262.0, -147.0)","(48.0, 1260.0, 1242.0)","(99.0, 19.0, 180.0)","(43.0, -283.0, 45.0)"
32,2023-03-31 10:57:20.359547,"(-2.0, 274.0, -132.0)","(44.0, 1216.0, 1064.0)","(66.0, 51.0, 174.0)","(45.0, -252.0, 62.0)"
33,2023-03-31 10:57:20.371138,"(1.0, 289.0, -152.0)","(-9.0, 1083.0, 926.0)","(62.0, 68.0, 140.0)","(60.0, -249.0, 58.0)"
34,2023-03-31 10:57:20.394487,"(13.0, 272.0, -120.0)","(-44.0, 1092.0, 946.0)","(25.0, -8.0, 184.0)","(46.0, -262.0, 17.0)"
35,2023-03-31 10:57:20.408228,"(-38.0, 274.0, -78.0)","(-9.0, 1065.0, 936.0)","(71.0, 19.0, 169.0)","(29.0, -300.0, 54.0)"
36,2023-03-31 10:57:20.421936,"(0.0, 253.0, -98.0)","(-62.0, 1090.0, 979.0)","(93.0, 44.0, 135.0)","(3.0, -329.0, 61.0)"
37,2023-03-31 10:57:20.435474,"(49.0, 232.0, -141.0)","(-9.0, 1111.0, 1018.0)","(104.0, 5.0, 187.0)","(31.0, -268.0, 57.0)"
38,2023-03-31 10:57:20.449057,"(12.0, 279.0, -118.0)","(18.0, 1130.0, 1057.0)","(94.0, 10.0, 138.0)","(57.0, -254.0, 18.0)"
39,2023-03-31 10:57:20.462990,"(-11.0, 263.0, -151.0)","(1.0, 1149.0, 1099.0)","(125.0, 52.0, 154.0)","(43.0, -253.0, 36.0)"
40,2023-03-31 10:57:20.488233,"(-6.0, 258.0, -136.0)","(44.0, 1124.0, 1071.0)","(117.0, 56.0, 179.0)","(44.0, -214.0, 44.0)"
41,2023-03-31 10:57:20.501854,"(-14.0, 212.0, -137.0)","(124.0, 1130.0, 1065.0)","(62.0, 55.0, 101.0)","(-20.0, -166.0, 13.0)"
42,2023-03-31 10:57:20.515478,"(1.0, 209.0, -110.0)","(96.0, 1155.0, 1056.0)","(39.0, 78.0, 142.0)","(14.0, -244.0, 32.0)"
43,2023-03-31 10:57:20.529239,"(-17.0, 225.0, -115.0)","(47.0, 1099.0, 1033.0)","(104.0, 49.0, 119.0)","(1.0, -222.0, 36.0)"
44,2023-03-31 10:57:20.542898,"(13.0, 203.0, -95.0)","(58.0, 1088.0, 1006.0)","(84.0, 27.0, 135.0)","(56.0, -173.0, 22.0)"
45,2023-03-31 10:57:20.570317,"(-18.0, 208.0, -141.0)","(49.0, 1061.0, 1009.0)","(98.0, 56.0, 87.0)","(19.0, -159.0, 19.0)"
46,2023-03-31 10:57:20.584486,"(7.0, 140.0, -128.0)","(96.0, 1074.0, 966.0)","(98.0, 61.0, 104.0)","(19.0, -179.0, 34.0)"
47,2023-03-31 10:57:20.597478,"(48.0, 156.0, -125.0)","(62.0, 1039.0, 956.0)","(57.0, 81.0, 100.0)","(21.0, -153.0, 29.0)"
48,2023-03-31 10:57:20.611181,"(10.0, 147.0, -129.0)","(100.0, 1018.0, 947.0)","(112.0, 84.0, 81.0)","(31.0, -114.0, 22.0)"
49,2023-03-31 10:57:20.624932,"(-17.0, 98.0, -122.0)","(101.0, 1015.0, 937.0)","(41.0, 70.0, 62.0)","(58.0, -119.0, 4.0)"
50,2023-03-31 10:57:20.638878,"(-3.0, 92.0, -112.0)","(106.0, 1016.0, 921.0)","(44.0, 40.0, 70.0)","(-7.0, -138.0, 27.0)"
51,2023-03-31 10:57:20.652957,"(-9.0, 100.0, -79.0)","(142.0, 975.0, 919.0)","(83.0, 56.0, 50.0)","(-11.0, -117.0, 12.0)"
52,2023-03-31 10:57:20.680769,"(-28.0, 113.0, -145.0)","(118.0, 949.0, 887.0)","(43.0, 21.0, 52.0)","(4.0, -128.0, -31.0)"
53,2023-03-31 10:57:20.695551,"(-12.0, 87.0, -81.0)","(108.0, 911.0, 895.0)","(59.0, 88.0, 38.0)","(11.0, -92.0, -1.0)"
54,2023-03-31 10:57:20.708976,"(24.0, 74.0, -58.0)","(107.0, 889.0, 850.0)","(46.0, 8.0, 31.0)","(0.0, -52.0, -42.0)"
55,2023-03-31 10:57:20.720621,"(9.0, 61.0, -56.0)","(122.0, 888.0, 853.0)","(81.0, 0.0, 30.0)","(12.0, -50.0, -54.0)"
56,2023-03-31 10:57:20.732212,"(0.0, 97.0, -69.0)","(96.0, 828.0, 870.0)","(61.0, 20.0, 23.0)","(12.0, -26.0, -64.0)"
57,2023-03-31 10:57:20.755239,"(-45.0, 81.0, -22.0)","(136.0, 837.0, 874.0)","(40.0, -10.0, 22.0)","(20.0, -79.0, -103.0)"
58,2023-03-31 10:57:20.769178,"(-23.0, 68.0, -43.0)","(100.0, 827.0, 861.0)","(48.0, 1.0, -26.0)","(12.0, -89.0, -87.0)"
59,2023-03-31 10:57:20.782988,"(-6.0, 75.0, -34.0)","(79.0, 832.0, 905.0)","(36.0, -57.0, -5.0)","(-2.0, -102.0, -107.0)"
60,2023-03-31 10:57:20.796741,"(16.0, 72.0, -26.0)","(75.0, 816.0, 866.0)","(69.0, -38.0, 10.0)","(-7.0, -46.0, -115.0)"
61,2023-03-31 10:57:20.824158,"(-23.0, 66.0, -27.0)","(95.0, 786.0, 924.0)","(47.0, -81.0, 24.0)","(-59.0, -66.0, -98.0)"
62,2023-03-31 10:57:20.838097,"(-10.0, 107.0, 5.0)","(47.0, 760.0, 895.0)","(66.0, -34.0, -14.0)","(0.0, -90.0, -108.0)"
